Timestamp,Name of your institution:,Which city is your institution in?,Which state is your institution in?,Which country is your institution in?,Enter the URL for the homepage of the event:,Did you host a DataFest in 2011?,Number of participants (approximate ok):,Other participating institutions (if any). Leave blank if only students from your institution participated.,Did you host a DataFest in 2012?,Number of participants (approximate ok):_1,Other participating institutions (if any). Leave blank if only students from your institution participated._1,Did you host a DataFest in 2013?,Number of participants (approximate ok):_2,Other participating institutions (if any). Leave blank if only students from your institution participated._2,Did you host a DataFest in 2014?,Number of participants (approximate ok):_3,Other participating institutions (if any). Leave blank if only students from your institution participated._3,Did you host a DataFest in 2015?,Number of participants (approximate ok):_4,Other participating institutions (if any). Leave blank if only students from your institution participated._4,Did you host a DataFest in 2016?,Number of participants (approximate ok):_5,Other participating institutions (if any). Leave blank if only students from your institution participated._5,Did you host a DataFest in 2017?,Number of participants (approximate ok):_6,Other participating institutions (if any). Leave blank if only students from your institution participated._6
4/25/2017 14:17:28,Duke University,Durham,North Carolina,USA,http://stat.duke.edu/datafest,No,NA,NA,Yes,23,NA,Yes,52,"UNC Chapel Hill, NC State",Yes,112,"UNC Chapel Hill, NC State, Dartmouth",Yes,230,"UNC Chapel Hill, NC State, North Carolina A&T, UNC Greensboro, NCSSM, University of Micgican, NCCU",Yes,260,"UNC Chapel Hill, NC State, North Carolina A&T, Elon University, NCSSM, Meredith College",Yes,360,"UNC Chapel Hill, NC State, North Carolina A&T, Elon University, NCSSM, Meredith College, Wake Forest University"
4/25/2017 14:28:04,Vassar College,Arlington,New York,USA,http://pages.vassar.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,40,NA,Yes,75,"Marist College, Colgate University"
4/25/2017 14:28:21,Purdue University,Lafayette,Indiana,USA,http://llc.stat.purdue.edu/datafest2016.html,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,20,NA,Yes,80,NA,Yes,80,NA
4/25/2017 14:31:52,Emory University,Atlanta,Georgia,USA,http://www.quantitative.emory.edu/events/datafest%20.html,No,NA,NA,No,NA,NA,No,NA,NA,Yes,41,NA,Yes,53,NA,No,NA,NA,Yes,45,NA
4/25/2017 14:32:44,Davidson College,Davidson,North Carolina,USA,https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,48,NA
4/25/2017 14:34:07,Middlebury College,Middlebury,Vermont,USA,http://go.middlebury.edu/datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,25,NA
4/25/2017 14:35:02,Wellesley College,Wellesley,Massachusetts,USA,http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,30,"Babson, Olin",No,NA,NA
4/25/2017 14:37:08,Wesleyan University,Middletown,Connecticut,USA,http://datafest.blogs.wesleyan.edu/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,50,"University of Connecticut, Connecticut College, Trinity College, Yale University",Yes,75,"University of Connecticut, Connecticut College, Trinity College, Yale University, Lafayette College"
4/25/2017 15:07:10,Grand Valley State University,Allendale,Michigan,USA,http://www.gvsu.edu/stat/datafest-50.htm,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,22,NA
4/25/2017 15:23:37,Penn State University,State College,Pennsylvania,USA,http://stat.psu.edu/Events/2016-datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,60,NA,Yes,80,"PSU Brandywine, Juniata College, Wilkes University",Yes,100,"PSU Brandywine, PSU Harrisburg, PSU Great Valley, Wilkes University"
4/25/2017 15:25:14,UCLA,Los Angeles,California,USA,http://datafest.stat.ucla.edu/,Yes,30,NA,Yes,75,NA,Yes,110,Pomona College,Yes,200,"Pomona, UCR, USC",Yes,250,"Pomona, Cal Poly SLO, USC, UCR",Yes,300,"Pomona, Cal Poly SLO, USC, UCR",Yes,300,"Pomona, Biola, Cal Poly SLO, UCR"
4/25/2017 15:28:06,University of Missouri,Columbia,Missouri,USA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,20,NA
4/25/2017 15:30:31,Cleveland State University,Cleveland,Ohio,USA,https://sites.google.com/view/csudatafest/home,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,25,NA
4/25/2017 15:33:19,Ohio State University,Columbus,Ohio,USA,https://data-analytics.osu.edu/datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,100,NA,Yes,111,NA
4/25/2017 16:19:13,Chapman University,Orange,California,USA,http://www.chapman.edu/scst/conferences-and-events/datafest.aspx,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,65,"UCSB, CSUN, USC, CSUF, UCI"
4/25/2017 16:28:30,UC Berkeley,Berkeley,California,USA,datafest.stat.berkeley.edu,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,50,NA,Yes,50,NA
4/25/2017 16:38:43,Miami University (Ohio),Oxford,Ohio,USA,http://miamioh.edu/fsb/centers/cads/experiential/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,51,University of Cincinnati; Bowling Green State University,Yes,90,University of Cincinnati; Bowling Green State University
4/25/2017 21:46:31,University of Massachusets,Amherst,Massachusetts,USA,http://www.science.smith.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,Yes,79,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges",Yes,82,"Amherst, Hampshire, Mt. Holyoke, Smith College",Yes,123,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges",Yes,142,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges"
4/25/2017 21:55:14,University of New Mexico,Albuquerque,New Mexico,USA,http://math.unm.edu/news-events/events/asa-datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,14,NA
4/26/2017 9:40:50,Columbia University,New York,New York,USA,http://blogs.cuit.columbia.edu/statisticsclub/events/spring-datafest-2017/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,45,NA
4/26/2017 13:57:28,University of Mannheim,Mannheim,NA,Germany,http://datafest.de/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,80,LMU Munich,Yes,90,LMU Munich,Yes,80,NA
4/26/2017 15:13:24,University of Virginia,Charlottesville,Virginia,USA,http://datafest.virginia.edu/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,60,NA,No,NA,NA
4/27/2017 9:59:29,Virginia Tech,Blacksburg,Virginia,USA,http://www.stat.vt.edu/Academics/undergraduate/VTdatafest.html,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,30,NA,Yes,60,NA
4/27/2017 10:27:25,"Summit Consulting, DC",Washington,District of Columbia,USA,https://www.facebook.com/events/520875878090896/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,17,"UMD, American University, George Washington",Yes,27,"George Washington, Howard, UMD, George Mason, Montclair",Yes,58,"George Washington, UMD, UMBC, American, Howard, George Washington"
4/27/2017 16:06:26,Case Western Reserve University,Cleveland,Ohio,USA,http://mathstats.case.edu/datafest-2017/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,16,NA
NA,Macalaster College,St Paul,Minnessota,USA,https://www.macalester.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,54,NA
NA,Loyola University Chicago,Chicago,Illinois,USA,http://pascal.math.luc.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,40,NA
NA,Brown University,Providence,Rhode Island,USA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,40,NA
NA,University of Toronto,Toronto,Ontario,Canada,https://utorontodatafest.wordpress.com/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,40,NA
