timestamp,host,city,state,country,url,df_2011,num_part_2011,other_inst_2011,df_2012,num_part_2012,other_inst_2012,df_2013,num_part_2013,other_inst_2013,df_2014,num_part_2014,other_inst_2014,df_2015,num_part_2015,other_inst_2015,df_2016,num_part_2016,other_inst_2016,df_2017,num_part_2017,other_inst_2017,address,lon,lat,radius_2017,radius_2016,radius_2015,radius_2014,radius_2013,radius_2012,radius_2011
4/25/2017 14:17:28,Duke University,Durham,North Carolina,USA,http://stat.duke.edu/datafest,No,NA,NA,Yes,23,NA,Yes,52,"UNC Chapel Hill, NC State",Yes,112,"UNC Chapel Hill, NC State, Dartmouth",Yes,230,"UNC Chapel Hill, NC State, North Carolina A&T, UNC Greensboro, NCSSM, University of Micgican, NCCU",Yes,260,"UNC Chapel Hill, NC State, North Carolina A&T, Elon University, NCSSM, Meredith College",Yes,360,"UNC Chapel Hill, NC State, North Carolina A&T, Elon University, NCSSM, Meredith College, Wake Forest University",Durham North Carolina USA,-78.898619,35.9940329,10.404624277456646,7.514450867052023,6.6473988439306355,3.236994219653179,1.5028901734104045,0.6647398843930635,NA
4/25/2017 14:28:04,Vassar College,Arlington,New York,USA,http://pages.vassar.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,40,NA,Yes,75,"Marist College, Colgate University",Arlington New York USA,-73.89680249999999,41.6959269,2.167630057803468,1.1560693641618496,NA,NA,NA,NA,NA
4/25/2017 14:28:21,Purdue University,Lafayette,Indiana,USA,http://llc.stat.purdue.edu/datafest2016.html,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,20,NA,Yes,80,NA,Yes,80,NA,Lafayette Indiana USA,-86.87528689999999,40.4167022,2.312138728323699,2.312138728323699,0.5780346820809248,NA,NA,NA,NA
4/25/2017 14:31:52,Emory University,Atlanta,Georgia,USA,http://www.quantitative.emory.edu/events/datafest%20.html,No,NA,NA,No,NA,NA,No,NA,NA,Yes,41,NA,Yes,53,NA,No,NA,NA,Yes,45,NA,Atlanta Georgia USA,-84.3879824,33.7489954,1.3005780346820808,NA,1.5317919075144508,1.1849710982658959,NA,NA,NA
4/25/2017 14:32:44,Davidson College,Davidson,North Carolina,USA,https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,48,NA,Davidson North Carolina USA,-80.8486846,35.4993031,1.3872832369942196,NA,NA,NA,NA,NA,NA
4/25/2017 14:34:07,Middlebury College,Middlebury,Vermont,USA,http://go.middlebury.edu/datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,25,NA,Middlebury Vermont USA,-73.16734,44.015337100000004,0.722543352601156,NA,NA,NA,NA,NA,NA
4/25/2017 14:35:02,Wellesley College,Wellesley,Massachusetts,USA,http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,30,"Babson, Olin",No,NA,NA,Wellesley Massachusetts USA,-71.29238769999999,42.296797,NA,0.8670520231213873,NA,NA,NA,NA,NA
4/25/2017 14:37:08,Wesleyan University,Middletown,Connecticut,USA,http://datafest.blogs.wesleyan.edu/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,50,"University of Connecticut, Connecticut College, Trinity College, Yale University",Yes,75,"University of Connecticut, Connecticut College, Trinity College, Yale University, Lafayette College",Middletown Connecticut USA,-72.6506488,41.5623209,2.167630057803468,1.445086705202312,NA,NA,NA,NA,NA
4/25/2017 15:07:10,Grand Valley State University,Allendale,Michigan,USA,http://www.gvsu.edu/stat/datafest-50.htm,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,22,NA,Allendale Michigan USA,-85.9540407,42.97219339999999,0.6358381502890174,NA,NA,NA,NA,NA,NA
4/25/2017 15:23:37,Penn State University,State College,Pennsylvania,USA,http://stat.psu.edu/Events/2016-datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,60,NA,Yes,80,"PSU Brandywine, Juniata College, Wilkes University",Yes,100,"PSU Brandywine, PSU Harrisburg, PSU Great Valley, Wilkes University",State College Pennsylvania USA,-77.8600012,40.7933949,2.890173410404624,2.312138728323699,1.7341040462427746,NA,NA,NA,NA
